demographic_category,demographic_value,administered_date,total_doses,cumulative_total_doses,pfizer_doses,cumulative_pfizer_doses,moderna_doses,cumulative_moderna_doses,jj_doses,cumulative_jj_doses,partially_vaccinated,total_partially_vaccinated,fully_vaccinated,cumulative_fully_vaccinated,at_least_one_dose,cumulative_at_least_one_dose,booster_recip_count,cumulative_booster_recip_count
Gender,Male,2020-10-02,15,1401,12,940,3,457,0,4,0,24,14,564,1,834,0,0
Gender,Female,2020-10-03,7,1318,3,817,3,498,1,3,0,15,6,525,2,789,0,0
Gender,Male,2020-10-03,9,1410,3,943,6,463,0,4,0,24,8,572,1,835,0,0
Gender,Male,2020-10-04,1,1411,0,943,1,464,0,4,0,24,0,572,1,836,0,0
Gender,Female,2020-10-04,1,1319,1,818,0,498,0,3,0,15,0,525,1,790,0,0
Gender,Female,2020-10-05,8,1327,6,824,2,500,0,3,0,15,6,531,2,792,0,0
Gender,Male,2020-10-05,19,1430,14,957,5,469,0,4,0,24,11,583,6,842,0,0
Gender,Female,2020-10-06,18,1345,14,838,3,503,1,4,0,15,15,546,4,796,0,0
Gender,Male,2020-10-06,16,1446,13,970,2,471,1,5,0,24,13,596,4,846,0,0
Gender,Female,2020-10-07,17,1362,9,847,8,511,0,4,0,15,15,561,2,798,0,0
Gender,Male,2020-10-07,21,1467,10,980,9,480,2,7,0,24,18,614,5,851,0,0
Gender,Female,2020-10-08,13,1375,9,856,4,515,0,4,2,17,5,566,8,806,0,0
Gender,Male,2020-10-08,25,1492,17,997,6,486,2,9,1,25,19,633,8,859,0,0
Gender,Male,2020-10-09,21,1513,10,1007,11,497,0,9,0,25,16,649,5,864,0,0
Gender,Female,2020-10-09,19,1394,11,867,8,523,0,4,0,17,16,582,3,809,0,0
Gender,Female,2020-10-10,12,1406,4,871,4,527,4,8,1,18,9,591,7,816,0,0
Gender,Male,2020-10-10,12,1525,7,1014,3,500,2,11,0,25,8,657,6,870,0,0
Gender,Female,2020-10-11,2,1408,0,871,1,528,1,9,0,18,1,592,2,818,0,0
Gender,Male,2020-10-11,1,1526,1,1015,0,500,0,11,0,25,1,658,0,870,0,0
Gender,Male,2020-10-12,26,1552,19,1034,7,507,0,11,0,25,22,680,4,874,0,0
Gender,Female,2020-10-12,8,1416,5,876,2,530,1,10,0,18,7,599,2,820,0,0
Gender,Male,2020-10-13,18,1570,10,1044,8,515,0,11,0,25,14,694,4,878,0,0
Gender,Female,2020-10-13,13,1429,10,886,3,533,0,10,0,18,10,609,3,823,0,0
Gender,Male,2020-10-14,17,1587,10,1054,6,521,1,12,1,26,13,707,5,883,0,0
Gender,Female,2020-10-14,16,1445,10,896,6,539,0,10,0,18,12,621,4,827,0,0
Gender,Female,2020-10-15,14,1459,10,906,4,543,0,10,0,18,8,629,6,833,0,0
Gender,Male,2020-10-15,16,1603,12,1066,4,525,0,12,0,26,9,716,6,889,0,0
Gender,Female,2020-10-16,14,1473,11,917,3,546,0,10,1,19,7,636,7,840,0,0
Gender,Male,2020-10-16,18,1621,12,1078,5,530,1,13,1,27,11,727,8,897,0,0
Gender,Male,2020-10-17,7,1628,5,1083,2,532,0,13,0,27,3,730,4,901,0,0
Gender,Female,2020-10-17,4,1477,3,920,1,547,0,10,0,19,2,638,2,842,0,0
Gender,Male,2020-10-18,3,1631,3,1086,0,532,0,13,0,27,0,730,3,904,0,0
Gender,Female,2020-10-18,3,1480,3,923,0,547,0,10,0,19,0,638,3,845,0,0
Gender,Female,2020-10-19,18,1498,15,938,3,550,0,10,0,19,4,642,14,859,0,0
Gender,Male,2020-10-19,13,1644,9,1095,3,535,1,14,0,27,4,734,10,914,0,0
Gender,Female,2020-10-20,11,1509,3,941,8,558,0,10,0,19,4,646,7,866,0,0
Gender,Male,2020-10-20,8,1652,3,1098,5,540,0,14,0,27,0,734,8,922,0,0
Gender,Male,2020-10-21,15,1667,12,1110,3,543,0,14,0,27,2,736,13,935,0,0
Gender,Female,2020-10-21,18,1527,12,953,6,564,0,10,0,19,6,652,12,878,0,0
Gender,Male,2020-10-22,11,1678,7,1117,4,547,0,14,1,28,1,737,9,944,0,0
Gender,Female,2020-10-22,8,1535,6,959,2,566,0,10,0,19,2,654,6,884,0,0
Gender,Male,2020-10-23,16,1694,8,1125,8,555,0,14,0,28,3,740,13,957,0,0
Gender,Female,2020-10-23,11,1546,5,964,6,572,0,10,0,19,3,657,8,892,0,0
Gender,Male,2020-10-24,9,1703,9,1134,0,555,0,14,0,28,0,740,9,966,0,0
Gender,Female,2020-10-24,1,1547,0,964,1,573,0,10,0,19,0,657,1,893,0,0
Gender,Female,2020-10-25,1,1548,1,965,0,573,0,10,0,19,0,657,1,894,0,0
Gender,Male,2020-10-25,2,1705,1,1135,1,556,0,14,0,28,0,740,2,968,0,0
Gender,Male,2020-10-26,14,1719,12,1147,2,558,0,14,0,28,2,742,12,980,0,0
Gender,Female,2020-10-26,10,1558,4,969,4,577,2,12,0,19,3,660,9,903,0,0
Gender,Male,2020-10-27,15,1734,9,1156,4,562,2,16,0,28,6,748,11,991,0,0
Gender,Female,2020-10-27,7,1565,5,974,2,579,0,12,0,19,2,662,5,908,0,0
Gender,Unknown/undifferentiated,2020-10-28,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0
Gender,Female,2020-10-28,7,1572,1,975,6,585,0,12,0,19,2,664,5,913,0,0
Gender,Male,2020-10-28,6,1740,2,1158,4,566,0,16,1,29,0,748,6,997,0,0
Gender,Female,2020-10-29,8,1580,5,980,2,587,1,13,0,19,3,667,5,918,0,0
Gender,Male,2020-10-29,5,1745,3,1161,2,568,0,16,0,29,1,749,4,1001,0,0
Gender,Female,2020-10-30,11,1591,6,986,4,591,1,14,0,19,4,671,8,926,0,0
Gender,Male,2020-10-30,5,1750,2,1163,3,571,0,16,0,29,4,753,1,1002,0,0
Gender,Female,2020-10-31,5,1596,2,988,0,591,3,17,0,19,3,674,5,931,0,0
Gender,Male,2020-10-31,6,1756,2,1165,2,573,2,18,0,29,3,756,5,1007,0,0
Gender,Male,2020-11-01,23,1779,11,1176,6,579,6,24,0,29,8,764,21,1028,0,0
Gender,Female,2020-11-01,17,1613,11,999,4,595,2,19,0,19,5,679,14,945,0,0
Gender,Female,2020-11-02,15,1628,7,1006,7,602,1,20,0,19,3,682,13,958,0,0
Gender,Male,2020-11-02,12,1791,6,1182,3,582,3,27,0,29,6,770,9,1037,0,0
Gender,Female,2020-11-03,9,1637,3,1009,5,607,1,21,0,19,4,686,6,964,0,0
Gender,Male,2020-11-03,5,1796,2,1184,0,582,3,30,1,30,3,773,5,1042,0,0
Gender,Male,2020-11-04,13,1809,7,1191,1,583,5,35,1,31,8,781,10,1052,0,0
Gender,Female,2020-11-04,16,1653,5,1014,4,611,7,28,0,19,13,699,10,974,0,0
Gender,Female,2020-11-05,32,1685,20,1034,9,620,3,31,6,25,6,705,29,1003,0,0
Gender,Male,2020-11-05,36,1845,23,1214,10,593,3,38,7,38,6,787,33,1085,0,0
Gender,Female,2020-11-06,2,1687,1,1035,1,621,0,31,0,25,1,706,1,1004,0,0
Gender,Male,2020-11-06,5,1850,1,1215,1,594,3,41,0,38,4,791,4,1089,0,0
Gender,Male,2020-11-07,2,1852,2,1217,0,594,0,41,0,38,2,793,0,1089,0,0
Gender,Female,2020-11-07,2,1689,1,1036,0,621,1,32,0,25,1,707,2,1006,0,0
Gender,Female,2020-11-08,3,1692,1,1037,1,622,1,33,0,25,1,708,3,1009,0,0
Gender,Male,2020-11-08,2,1854,2,1219,0,594,0,41,0,38,0,793,2,1091,0,0
Gender,Male,2020-11-09,10,1864,7,1226,2,596,1,42,0,38,8,801,3,1094,0,0
Gender,Female,2020-11-09,4,1696,1,1038,2,624,1,34,0,25,3,711,2,1011,0,0
Gender,Male,2020-11-10,14,1878,6,1232,4,600,4,46,2,40,8,809,10,1104,0,0
Gender,Female,2020-11-10,13,1709,8,1046,3,627,2,36,0,25,4,715,11,1022,0,0
Gender,Female,2020-11-11,20,1729,14,1060,4,631,2,38,1,26,11,726,11,1033,0,0
Gender,Male,2020-11-11,29,1907,20,1252,4,604,5,51,0,40,16,825,18,1122,0,0
Gender,Male,2020-11-12,14,1921,6,1258,4,608,4,55,0,40,12,837,6,1128,0,0
Gender,Female,2020-11-12,8,1737,3,1063,3,634,2,40,0,26,6,732,4,1037,0,0
Gender,Male,2020-11-13,21,1942,12,1270,1,609,8,63,0,40,19,856,10,1138,0,0
Gender,Female,2020-11-13,15,1752,7,1070,1,635,7,47,0,26,12,744,10,1047,0,0
Gender,Female,2020-11-14,4,1756,1,1071,0,635,3,50,0,26,3,747,4,1051,0,0
Gender,Male,2020-11-14,12,1954,4,1274,0,609,8,71,0,40,9,865,11,1149,0,0
Gender,Male,2020-11-15,11,1965,1,1275,4,613,6,77,2,42,6,871,11,1160,0,0
Gender,Female,2020-11-15,7,1763,1,1072,2,637,4,54,0,26,4,751,7,1058,0,0
Gender,Female,2020-11-16,18,1781,8,1080,3,640,7,61,0,26,10,761,15,1073,0,0
Gender,Male,2020-11-16,19,1984,7,1282,6,619,6,83,0,42,12,883,13,1173,0,0
Gender,Male,2020-11-17,19,2003,12,1294,4,623,3,86,0,42,12,895,10,1183,0,0
Gender,Female,2020-11-17,12,1793,7,1087,4,644,1,62,0,26,4,765,9,1082,0,0
Gender,Male,2020-11-18,19,2022,6,1300,4,627,9,95,1,43,11,906,16,1199,0,0
Gender,Female,2020-11-18,18,1811,9,1096,6,650,3,65,0,26,4,769,17,1099,0,0
Gender,Male,2020-11-19,17,2039,4,1304,4,631,9,104,0,43,11,917,14,1213,0,0
Gender,Female,2020-11-19,13,1824,4,1100,1,651,8,73,0,26,9,778,12,1111,0,0
Gender,Male,2020-11-20,28,2067,6,1310,8,639,14,118,0,43,18,935,24,1237,0,0
Gender,Female,2020-11-20,22,1846,7,1107,4,655,11,84,1,27,14,792,19,1130,0,0
Gender,Male,2020-11-21,5,2072,1,1311,0,639,4,122,0,43,4,939,5,1242,0,0
Gender,Female,2020-11-21,5,1851,3,1110,1,656,1,85,1,28,2,794,4,1134,0,0
Gender,Male,2020-11-22,11,2083,4,1315,1,640,6,128,1,44,7,946,8,1250,0,0
Gender,Female,2020-11-22,14,1865,7,1117,2,658,5,90,0,28,5,799,14,1148,0,0
Gender,Male,2020-11-23,15,2098,6,1321,4,644,5,133,0,44,8,954,12,1262,0,0
Gender,Female,2020-11-23,16,1881,9,1126,1,659,6,96,2,30,7,806,14,1162,0,0
Gender,Male,2020-11-24,18,2116,6,1327,3,647,9,142,0,44,10,964,17,1279,0,0
Gender,Female,2020-11-24,17,1898,5,1131,5,664,7,103,0,30,9,815,15,1177,0,0
Gender,Male,2020-11-25,11,2127,2,1329,2,649,7,149,0,44,9,973,9,1288,0,0
Gender,Female,2020-11-25,7,1905,4,1135,2,666,1,104,0,30,2,817,6,1183,0,0
Gender,Female,2020-11-26,7,1912,3,1138,3,669,1,105,0,30,1,818,7,1190,0,0
Gender,Male,2020-11-26,2,2129,1,1330,1,650,0,149,1,45,0,973,2,1290,0,0
Gender,Female,2020-11-27,5,1917,3,1141,1,670,1,106,0,30,1,819,5,1195,0,0
Gender,Male,2020-11-27,13,2142,3,1333,3,653,7,156,0,45,7,980,11,1301,0,0
Gender,Male,2020-11-28,7,2149,3,1336,3,656,1,157,0,45,3,983,5,1306,0,0
Gender,Female,2020-11-28,8,1925,3,1144,4,674,1,107,1,31,1,820,8,1203,0,0
Gender,Female,2020-11-29,2,1927,0,1144,2,676,0,107,0,31,0,820,2,1205,0,0
Gender,Male,2020-11-29,4,2153,1,1337,3,659,0,157,0,45,1,984,3,1309,0,0
